# employeeId,username,hash,role,branch,accountNumber,phone
# hash = SHA-256 of the plain password (see AuthService.sha256)
1,shira,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,CASHIER,HOLON,123-456,050-1111111
2,amir,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,SALESPERSON,TEL_AVIV,111-222,050-2222222
3,vera,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,SHIFT_MANAGER,RISHON,222-333,050-3333333
# The SHA-256 above is for password: "password"
4,ron,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,SALESPERSON,HOLON,1,1
5,lihi,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,SHIFT_MANAGER,HOLON,1,1
6,noa,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,SHIFT_MANAGER,RISHON,1,1
8,dana,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,SHIFT_MANAGER,TEL_AVIV,155,050112233
9,test,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,SALESPERSON,HOLON,523,555552222
10,nissim,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,SALESPERSON,TEL_AVIV,4175,05432165478
